Wavelength (Å),CO/O1D,CO/O1S,CO/O,C/O2,Rationale/Source
1005,0.38,0.62,0,0,"*measured in Lawrence,  J.Chem.Phys, 1972; 812-1216Å"
1015,0.35,0.53,0,0.12,"*C/O2 branch calculated (0.18 of the O1S branch); Lu, Science, 2014"
1025,0.3,0.57,0,0.13,
1035,0.28,0.59,0,0.13,
1045,0.25,0.615,0,0.135,
1055,0.25,0.615,0,0.135,
1065,0.15,0.697,0,0.153,
1075,0.05,0.78,0,0.17,
1085,0,1,0,0,"*measured in Lawrence,  J.Chem.Phys, 1972; 812-1216Å"
1095,0,1,0,0,
1105,0,1,0,0,
1115,0,1,0,0,
1125,0,1,0,0,
1135,0,1,0,0,
1145,0,1,0,0,
1155,0.15,0.85,0,0,
1165,0.15,0.85,0,0,
1175,0.25,0.75,0,0,
1185,0.5,0.5,0,0,
1195,0.62,0.38,0,0,
1205,0.8,0.2,0,0,
1215,0.83,0.17,0,0,
1225,0.83,0.17,0,0,
1235,1,0,0,0,"*measured in Slanger, J.Chem.Phys, 1974; 1200-1500Å"
1245,1,0,0,0,
1255,1,0,0,0,
1265,1,0,0,0,
1275,1,0,0,0,
1285,1,0,0,0,
1295,1,0,0,0,
1305,1,0,0,0,
1315,1,0,0,0,
1325,1,0,0,0,
1335,1,0,0,0,
1345,1,0,0,0,
1355,1,0,0,0,
1365,1,0,0,0,
1375,1,0,0,0,
1385,1,0,0,0,
1395,1,0,0,0,
1405,1,0,0,0,
1415,1,0,0,0,
1425,1,0,0,0,
1435,1,0,0,0,
1445,1,0,0,0,
1455,1,0,0,0,
1465,1,0,0,0,
1475,1,0,0,0,
1485,1,0,0,0,
1495,1,0,0,0,
1505,1,0,0,0,
1515,1,0,0,0,
1525,1,0,0,0,
1535,1,0,0,0,
1545,1,0,0,0,
1555,1,0,0,0,
1565,0.94,0,0.06,0,*Zhu&Gordon(1990) /Stolow&Lee(1993) measured 0.6 branching ratio for O3P (cited by Berkowitz)
1575,0.94,0,0.06,0,
1585,0.94,0,0.06,0,
1595,0.94,0,0.06,0,
1605,0.94,0,0.06,0,
1615,0.94,0,0.06,0,
1625,0.94,0,0.06,0,
1635,0.94,0,0.06,0,
1645,0.94,0,0.06,0,
1655,0.94,0,0.06,0,
1665,0,0,1,0,*1670Å = threshold for O1D production
1675,0,0,1,0,
1685,0,0,1,0,
1695,0,0,1,0,
1705,0,0,1,0,
1715,0,0,1,0,
1725,0,0,1,0,
1735,0,0,1,0,
1745,0,0,1,0,
1755,0,0,1,0,
1765,0,0,1,0,
1775,0,0,1,0,
1785,0,0,1,0,
1795,0,0,1,0,
1805,0,0,1,0,
1815,0,0,1,0,
1825,0,0,1,0,
1835,0,0,1,0,
1845,0,0,1,0,
1855,0,0,1,0,
1865,0,0,1,0,
1875,0,0,1,0,
1885,0,0,1,0,
1895,0,0,1,0,
1905,0,0,1,0,
1915,0,0,1,0,
1925,0,0,1,0,
1935,0,0,1,0,
1945,0,0,1,0,
1955,0,0,1,0,
1965,0,0,1,0,
1975,0,0,1,0,
1985,0,0,1,0,
1995,0,0,1,0,
2005,0,0,1,0,
2015,0,0,1,0,
2025,0,0,1,0,
2035,0,0,1,0,
2045,0,0,1,0,
2055,0,0,1,0,
2065,0,0,1,0,
2075,0,0,1,0,
2085,0,0,1,0,
2095,0,0,1,0,
2105,0,0,1,0,
2115,0,0,1,0,
2125,0,0,1,0,
2135,0,0,1,0,
2145,0,0,1,0,
2155,0,0,1,0,
2165,0,0,1,0,
2175,0,0,1,0,
2185,0,0,1,0,
2195,0,0,1,0,
2205,0,0,1,0,
2215,0,0,1,0,
2225,0,0,1,0,
2235,0,0,1,0,
2245,0,0,1,0,*2247Å = dissociation threshold
2255,0,0,0,0,
2265,0,0,0,0,
2275,0,0,0,0,
2285,0,0,0,0,
2295,0,0,0,0,
2305,0,0,0,0,
2315,0,0,0,0,
2325,0,0,0,0,
2335,0,0,0,0,
2345,0,0,0,0,
2355,0,0,0,0,
2365,0,0,0,0,
2375,0,0,0,0,
2385,0,0,0,0,
2395,0,0,0,0,
2405,0,0,0,0,
2415,0,0,0,0,
2425,0,0,0,0,
2435,0,0,0,0,
2445,0,0,0,0,
2455,0,0,0,0,
2465,0,0,0,0,
2475,0,0,0,0,
2485,0,0,0,0,
2495,0,0,0,0,
2505,0,0,0,0,
2515,0,0,0,0,
2525,0,0,0,0,
2535,0,0,0,0,
2545,0,0,0,0,
2555,0,0,0,0,
2565,0,0,0,0,
2575,0,0,0,0,
2585,0,0,0,0,
2595,0,0,0,0,
2605,0,0,0,0,
2615,0,0,0,0,
2625,0,0,0,0,
2635,0,0,0,0,
2645,0,0,0,0,
2655,0,0,0,0,
2665,0,0,0,0,
2675,0,0,0,0,
2685,0,0,0,0,
2695,0,0,0,0,
2705,0,0,0,0,
2715,0,0,0,0,
2725,0,0,0,0,
2735,0,0,0,0,
2745,0,0,0,0,
2755,0,0,0,0,
2765,0,0,0,0,
2775,0,0,0,0,
2785,0,0,0,0,
2795,0,0,0,0,
2805,0,0,0,0,
2815,0,0,0,0,
2825,0,0,0,0,
2835,0,0,0,0,
2845,0,0,0,0,
2855,0,0,0,0,
2865,0,0,0,0,
2875,0,0,0,0,
2885,0,0,0,0,
2895,0,0,0,0,
2905,0,0,0,0,
2915,0,0,0,0,
2925,0,0,0,0,
2935,0,0,0,0,
2945,0,0,0,0,
2955,0,0,0,0,
2965,0,0,0,0,
2975,0,0,0,0,
2985,0,0,0,0,
2995,0,0,0,0,